epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_supp
1,1.9314495995640755,-0.25518504210880827,0.0005,0.2801342819418226,-0.7903208136558533,0.1332318133541516,0.5875417930739266
2,-1.7734434989591439,-2.571698708193643,0.0005,0.270389199256897,-3.0637132780892506,0.14091894243444716,0.5012188085487911
3,-2.7322354863087335,-2.6939602749688283,0.0005,0.27906088743891033,-3.182127067020961,0.13548670070511953,0.47195714712142944
4,-3.2382072806358337,-3.164865493774414,0.0005,0.2920064117227282,-3.6774459906986783,0.12965106964111328,0.5028159533228193
5,-3.4382614294687905,-4.018042206764221,0.0005,0.28809748377118793,-4.519079548971994,0.13947810445513045,0.4800453654357365
6,-4.249237596988678,-4.414381606238229,0.0005,0.29740722690309795,-4.918260472161429,0.14154086794172013,0.46310105494090487
7,-4.23188712199529,-4.782237495694842,0.0005,0.30171868205070496,-5.288372107914516,0.1358151627438409,0.46010905504226685
8,-4.676274498303731,-4.775870970317295,0.0005,0.2942908363682883,-5.268074716840472,0.13391816828932082,0.44456260544913156
9,-5.032683034737905,-5.094565664018903,0.0005,0.29890396765300203,-5.5997129167829245,0.1380258308989661,0.46384866748537334
10,-5.24245689312617,-5.396387849535261,0.0005,0.29453234161649433,-5.879829611097064,0.13182172711406434,0.42284008860588074
11,-5.93564756711324,-5.714036396571568,0.0005,0.28926060029438566,-6.196252890995571,0.1348666889326913,0.43181455561092924
12,-5.9185377558072405,-5.997065680367606,0.0005,0.28920973198754446,-6.487108298710415,0.13075837067195348,0.4530477396079472
13,-6.324263572692871,-6.731219972882952,0.0005,0.29313553656850544,-7.209072249276297,0.13526391770158494,0.41106790729931425
14,-6.252762297789256,-6.98016391481672,0.0005,0.2809329799243382,-7.443896566118513,0.13374519773891994,0.4068444924695151
15,-6.527058045069377,-7.00543873650687,0.0005,0.29106477754456656,-7.496363912309919,0.1355453176157815,0.4488212083067213
16,-6.7512491544087725,-7.1193318367004395,0.0005,0.2867954245635441,-7.606268065316336,0.13463955904756272,0.4498621310506548
17,-7.178943554560344,-7.636830193655832,0.0005,0.2903917942728315,-8.10347502572196,0.13674026621239527,0.38935532740184237
18,-7.536442001660665,-7.6600550924028665,0.0005,0.2887804763657706,-8.140117849622454,0.13503378416810716,0.427567401102611
19,-7.3144371509552,-7.068896225520542,0.0005,0.28886622190475464,-7.560717446463449,0.12623270920344762,0.4600505232810974
20,-7.38268768787384,-7.416700226919992,0.0005,0.2922923394611904,-7.8898380143301825,0.1347922044140952,0.40156675236565725
21,-7.522464911142985,-7.905749116625104,0.0005,0.28815212845802307,-8.389342648642403,0.1318422971027238,0.4391621819564274
22,-8.17813011010488,-7.409425667354038,0.0005,0.29130068847111296,-7.9212581770760675,0.12618035823106766,0.5040121972560883
23,-8.312249501546225,-8.473258904048375,0.0005,0.28272488287517,-8.971977438245501,0.13044141126530512,0.49106806090899874
24,-8.364692012468973,-8.355119092123848,0.0005,0.2857243078095572,-8.868229525429863,0.12621265756232397,0.5211355601038251
25,-8.516116857528687,-8.88748448235648,0.0005,0.28285074659756254,-9.387906687600273,0.13763468393257686,0.4923160672187805
26,-9.079389254252115,-8.810179710388184,0.0005,0.28769293427467346,-9.318632466452462,0.1281290054321289,0.5038513285773141
27,-8.376590013504028,-8.65687356676374,0.0005,0.2868809103965759,-9.148034640720912,0.12871035933494568,0.4624335254941668
28,-9.511632045110067,-9.051922253199987,0.0005,0.2869565955230168,-9.561014516013008,0.12884162153516496,0.5070233387606484
29,-9.140410820643107,-9.327290739331927,0.0005,0.28438054238046917,-9.851719447544642,0.13208066991397313,0.550590421472277
30,-9.035257617632547,-9.801209722246442,0.0005,0.28495713216917856,-10.303086689540319,0.13297743563141143,0.49243272628102985
