epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_supp
1,-8.553943061828614,-9.119419983455114,7.5e-05,0.2886622760977064,-9.793593747275215,0.12827104755810328,0.6940603341375079
2,-8.298141479492188,-10.26177706037249,7.5e-05,0.2837175897189549,-10.89238725389753,0.13511072524956294,0.6127188461167472
3,-8.646627362569173,-9.296455315181188,7.5e-05,0.283791252544948,-9.949015481131417,0.12822020586047853,0.6606058478355408
4,-8.571360778808593,-8.991415977478027,7.5e-05,0.2967984676361084,-9.660500798906599,0.12432560963290078,0.669977571283068
5,-8.994104385375977,-9.96347883769444,7.5e-05,0.286529357944216,-10.620479992457799,0.13376757289682115,0.6606827889169965
6,-8.711086845397949,-9.767504147120885,7.5e-05,0.2919807434082031,-10.440405709402901,0.13639107452971594,0.6800070149557931
7,-8.827636814117431,-9.681641374315534,3.75e-05,0.29282269733292715,-10.352982112339564,0.13156589546373912,0.6780963114329747
8,-8.88117717107137,-9.518361500331334,3.75e-05,0.2903677650860378,-10.187465395246234,0.12837721833160945,0.6804456455366952
9,-8.826352787017822,-9.513916560581752,3.75e-05,0.29302737542561125,-10.19016170501709,0.13491519859858922,0.6854864273752485
10,-8.956659030914306,-9.608428886958531,3.75e-05,0.2890194739614214,-10.26081643785749,0.1280614116362163,0.6498995125293732
11,-8.49663044611613,-9.477331570216588,3.75e-05,0.2878939722265516,-10.134402683803014,0.13109454193285533,0.659698120185307
12,-8.789805666605632,-9.554564203534808,1.875e-05,0.28732929485184805,-10.210533142089844,0.12861769220658711,0.660108574799129
