epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_speech_loudness,val_supp
1,-9.127948721249899,-8.756110872541155,5e-05,0.2885076233318874,-9.875524384634835,0.12906633104596818,1.5369110448019845,0.6751324619565692
2,-8.954495350519815,-9.879840782710485,5e-05,0.2823129040854318,-10.965167454310826,0.13473391745771682,1.506878069468907,0.6345337884766715
3,-9.180744886398315,-8.896262645721436,5e-05,0.2836304179259709,-9.990942001342773,0.12878015956708364,1.5112637962613786,0.6509490098272052
4,-9.060542901357016,-8.532480716705322,5e-05,0.29460492730140686,-9.673828125,0.12418761849403381,1.5613745536123003,0.6945665649005345
5,-8.662973562876383,-9.475836549486433,5e-05,0.28699365683964323,-10.557538305010114,0.1338761384998049,1.4447543621063232,0.6556258286748614
6,-9.378081361452738,-9.332613672528948,5e-05,0.29106269563947407,-10.44567939213344,0.13649521555219377,1.4827413048063005,0.6861133916037423
7,-9.002355813980103,-9.225608893803187,2.5e-05,0.29271342924662996,-10.32864488874163,0.1318344229034015,1.467878716332572,0.674000084400177
8,-9.325863321622213,-9.065463815416608,2.5e-05,0.2895887919834682,-10.187952722821917,0.1287092481340681,1.5421064155442374,0.6761816654886518
9,-9.320774714152018,-9.07524756022862,2.5e-05,0.29218689458710806,-10.182903698512487,0.1351748566542353,1.4620182429041182,0.686140137059348
10,-9.148770531018576,-9.181187970297676,2.5e-05,0.2880694738456181,-10.268817629132952,0.12839418011052267,1.4785388963563102,0.6478001305035183
11,-9.550992528597513,-9.104966027396065,2.5e-05,0.28678002527781893,-10.194480623517718,0.13121458142995834,1.458820641040802,0.6645692416599819
12,-9.27250631650289,-9.124950272696358,1.25e-05,0.2873787411621639,-10.207704135349818,0.12893790432385036,1.45169369663511,0.655264845916203
13,-9.354634761810303,-9.480356625148229,1.25e-05,0.2885229672704424,-10.561497824532646,0.13330171150820597,1.438962391444615,0.6552081022943769
14,-9.152656634648642,-9.951657703944615,1.25e-05,0.27912406410489765,-11.013954571315221,0.1316712913768632,1.4516480735370092,0.6295207696301597
15,-9.07205843925476,-9.463103771209717,1.25e-05,0.29179624148777555,-10.562428610665458,0.13409475130694254,1.4840322477476937,0.6575906617300851
16,-9.079577525456747,-9.394448552812849,1.25e-05,0.28790147389684406,-10.465475899832589,0.1341858825513295,1.4169476628303528,0.6489903671400887
17,-9.406707763671875,-9.804102557046074,1.25e-05,0.2853454223700932,-10.872073446001325,0.13432372042110988,1.436300013746534,0.6363091809409005
18,-9.473287105560303,-9.666995934077672,1.25e-05,0.2875590409551348,-10.749486242021833,0.13349527333463942,1.4700004373277937,0.6411142604691642
19,-9.063902457555136,-8.752200875963483,6.25e-06,0.289501462663923,-9.863986015319824,0.1256302371621132,1.5235012514250619,0.6676515255655561
20,-8.890304207801819,-9.28582205091204,6.25e-06,0.2894102462700435,-10.35427965436663,0.13166509675128119,1.4183286683900016,0.6412651879446847
