filename,difficulty,mode,num_clean,num_noise,num_bg,clean_files,noise_files,bg_files,clean_weights,noise_weights_or_snr_db,bg_weights_or_snr_db,duration_sec
1.wav,normal,ratio,1,2,0,Clean clip1.wav,gun.wav;ar.wav,,0.731,0.496;0.418,,35.944
2.wav,normal,snr,1,2,0,Clean clip2.wav,ar.wav;gun.wav,,,14.03;14.03,,48.578
3.wav,normal,snr,1,1,0,Clean clip2.wav,gun.wav,,,3.19,,48.578
4.wav,normal,snr,1,1,0,Clean clip3.wav,grenade.wav,,,6.73,,17.581
5.wav,normal,snr,1,0,1,Clean clip4.wav,,wind.wav,,,16.14,18.887
6.wav,normal,snr,1,1,2,Clean clip1.wav,ar.wav,static.wav;wind.wav,,7.23,3.85;3.85,35.944
7.wav,normal,snr,1,2,0,Clean clip1.wav,grenade.wav;m16.wav,,,17.33;17.33,,35.944
8.wav,normal,ratio,1,1,0,Clean clip3.wav,gun.wav,,0.763,0.307,,17.581
9.wav,normal,snr,1,2,1,Clean clip2.wav,grenade.wav;ar.wav,static.wav,,12.8;12.8,11.14,48.578
10.wav,normal,snr,1,1,0,Clean clip4.wav,ar.wav,,,11.34,,18.887
11.wav,normal,ratio,1,2,2,Clean clip2.wav,m16.wav;grenade.wav,static.wav;wind.wav,0.868,0.305;0.434,0.464;0.29,48.578
12.wav,normal,snr,1,2,0,Clean clip2.wav,m16.wav;ar.wav,,,3.06;3.06,,48.578
13.wav,normal,ratio,1,2,1,Clean clip4.wav,ar.wav;grenade.wav,static.wav,0.775,0.421;0.577,0.388,18.887
14.wav,normal,ratio,1,2,1,Clean clip3.wav,gun.wav;ar.wav,static.wav,0.986,0.55;0.305,0.325,17.581
15.wav,normal,snr,1,2,2,Clean clip1.wav,gun.wav;m16.wav,static.wav;wind.wav,,10.79;10.79,15.57;15.57,35.944
16.wav,normal,snr,1,1,0,Clean clip3.wav,ar.wav,,,17.57,,17.581
17.wav,normal,ratio,1,2,2,Clean clip1.wav,m16.wav;ar.wav,static.wav;wind.wav,0.865,0.306;0.549,0.298;0.224,35.944
18.wav,normal,ratio,1,1,1,Clean clip3.wav,gun.wav,wind.wav,0.774,0.226,0.157,17.581
19.wav,normal,snr,1,2,2,Clean clip1.wav,grenade.wav;m16.wav,static.wav;wind.wav,,17.65;17.65,11.52;11.52,35.944
